disease,symptoms
Psoriasis,"Red scaly patches on skin with intense itching"
Psoriasis,"Silvery flakes on scalp and elbows with peeling"
Psoriasis,"Joint pain accompanying widespread skin rashes"
Psoriasis,"Nail pitting with small dents and separation"
Psoriasis,"Skin rash worsening dramatically in dry weather"
Psoriasis,"Sudden skin peeling in patches on arms and legs"
Psoriasis,"Unbearable itching that disrupts sleep patterns"
Psoriasis,"Silver dusting appearance on back and scalp"
Psoriasis,"Painful cracking and fissures on palms and soles"
Psoriasis,"Red inflamed skin around mouth and nasal areas"
Psoriasis,"Thick red patches developing on knees and elbows"
Psoriasis,"Itchy spots triggered by stress or illness"
Psoriasis,"Bleeding skin lesions from accidental scratching"
Psoriasis,"Nail separation from bed with characteristic pitting"
Psoriasis,"Inverse psoriasis affecting armpit and groin folds"
Psoriasis,"Guttate psoriasis appearing as small drop-like lesions"
Psoriasis,"Pustular psoriasis with white blisters containing pus"
Psoriasis,"Erythrodermic psoriasis causing widespread redness"
Psoriasis,"Burning sore sensation in all affected skin areas"
Psoriasis,"Psoriatic arthritis causing swollen painful joints"
Psoriasis,"Scalp psoriasis with severe flaking resembling dandruff"
Psoriasis,"Skin plaques appearing on lower back and buttocks"
Psoriasis,"Skin thickening with significant plaque buildup"
Psoriasis,"Nighttime itching that interrupts sleep cycles"
Psoriasis,"Extremely dry flaky skin requiring constant moisturizing"
Psoriasis,"Skin lesions that appear at sites of previous injuries"
Psoriasis,"Circular patches with clear centers on torso"
Psoriasis,"Thickened skin on palms making movement difficult"
Psoriasis,"Scaly patches behind ears and along hairline"
Psoriasis,"Skin feels tight and painful after bathing"
Psoriasis,"Red patches that spread when scratched repeatedly"
Psoriasis,"Nail separation causing significant pain and discomfort"
Psoriasis,"Skin plaques that itch more during stressful periods"
Psoriasis,"Dry flaky skin that sheds white particles constantly"
Psoriasis,"Inflammation in skin folds causing constant discomfort"
Psoriasis,"Patches that appear symmetrical on both body sides"
Psoriasis,"Skin feels uncomfortable when wearing tight clothing"
Psoriasis,"Flaking that leaves skin red tender and sensitive"
Psoriasis,"Joint swelling that correlates with skin symptoms"
Psoriasis,"Skin lesions resistant to over-the-counter creams"
Psoriasis,"Itching severe enough to cause sleep deprivation"
Psoriasis,"Patches that become infected from excessive scratching"
Psoriasis,"Nail pain when pressure is applied during activities"
Psoriasis,"Scalp scaling that requires special medicated shampoos"
Psoriasis,"Skin improvement after swimming in salt water"
Psoriasis,"Patches that change color from red to brown over time"
Psoriasis,"Itching that makes focusing on work difficult"
Psoriasis,"Skin plaques that crack painfully in cold weather"
Psoriasis,"Joint pain that limits daily physical activities"
Psoriasis,"Visible skin shedding on furniture and clothing"
Psoriasis,"Burning sensation requiring cold compresses for relief"
Psoriasis,"Patches that appear after viral infections like strep"
Psoriasis,"Nail thickening and abnormal growth patterns"
Psoriasis,"Skin feels irritated by most fabric types"
Psoriasis,"Itching that responds only to prescription treatments"
Psoriasis,"Patches that leave temporary marks when healed"
Psoriasis,"Joint stiffness worse during morning hours"
Psoriasis,"Skin feels extremely sensitive to temperature changes"
Psoriasis,"Flaking that occurs throughout the daytime hours"
Psoriasis,"Itching that disturbs normal social interactions"
Psoriasis,"Patches that bleed with minimal friction or contact"
Psoriasis,"Nail deformities that affect daily manual tasks"
Psoriasis,"Skin plaques that feel warm compared to surrounding skin"
Psoriasis,"Itching that varies with hormonal changes in body"
Psoriasis,"Patches that appear during periods of high stress"
Psoriasis,"Joint swelling that makes movement painful and limited"
Psoriasis,"Skin feels uncomfortable in humid weather conditions"
Psoriasis,"Visible inflammation that attracts unwanted attention"
Psoriasis,"Itching that requires constant attention and scratching"
Psoriasis,"Patches that resist healing for several weeks"
Psoriasis,"Nail changes that cause social embarrassment"
Psoriasis,"Skin feels better with specific dietary changes"
Psoriasis,"Flaking that increases after hot showers or baths"
Psoriasis,"Itching that interferes with intimate relationships"
Psoriasis,"Patches that appear in unusual body locations"
Psoriasis,"Joint pain that requires regular pain medication"
Psoriasis,"Skin feels tight after applying topical treatments"
Psoriasis,"Visible scaling that affects clothing choices"
Psoriasis,"Itching that worsens during seasonal changes"
Psoriasis,"Patches that become more prominent with aging"
Psoriasis,"Nail problems that make typing and writing difficult"
Psoriasis,"Skin feels uncomfortable during physical exercise"
Psoriasis,"Flaking that creates mess in living spaces"
Psoriasis,"Itching that causes skin damage from scratching"
Psoriasis,"Patches that respond differently to various treatments"
Psoriasis,"Joint symptoms that fluctuate with skin condition"
Psoriasis,"Skin feels sensitive to most skincare products"
Psoriasis,"Visible symptoms that affect self-confidence levels"
Psoriasis,"Itching that requires medical intervention"
Psoriasis,"Patches that have distinct seasonal patterns"
Psoriasis,"Nail issues that require special care and attention"
Psoriasis,"Skin feels better with consistent treatment routine"
Psoriasis,"Flaking that affects overall sleep quality"
Psoriasis,"Itching that varies throughout the day"
Psoriasis,"Patches that change with weather conditions"
Psoriasis,"Joint discomfort that limits physical activities"
Psoriasis,"Skin feels different from normal skin texture"
Psoriasis,"Visible symptoms that draw unwanted comments"
Psoriasis,"Itching that becomes background constant sensation"
Psoriasis,"Patches that have been present for many years"
Varicose Veins,"Heaviness and discomfort in both legs"
Varicose Veins,"Prominent blue veins under skin surface"
Varicose Veins,"Evening leg swelling affecting mobility"
Varicose Veins,"Frequent unexplained leg bruising"
Varicose Veins,"Calf pain after short walking distances"
Varicose Veins,"Stair climbing significantly increases pain"
Varicose Veins,"Twisted protruding blood vessels visible"
Varicose Veins,"Itchy inflamed skin around affected veins"
Varicose Veins,"Nighttime leg cramping episodes"
Varicose Veins,"Dark purple or blue vein coloration"
Varicose Veins,"Ankle area skin discoloration present"
Varicose Veins,"Dry itchy skin over varicose veins"
Varicose Veins,"Legs feel tired and restless at night"
Varicose Veins,"Standing for long periods worsens pain"
Varicose Veins,"Veins feel hard and cord-like to touch"
Varicose Veins,"Minor bleeding occurs from varicose veins"
Varicose Veins,"Superficial thrombophlebitis causing redness"
Varicose Veins,"Lipodermatosclerosis causing skin hardening"
Varicose Veins,"Venous eczema developing around affected veins"
Varicose Veins,"Skin ulcers forming near ankles in severe cases"
Varicose Veins,"Legs feel better when elevated properly"
Varicose Veins,"Veins become more visible during pregnancy"
Varicose Veins,"Hormonal changes affect vein appearance"
Varicose Veins,"Family history of vein problems exists"
Varicose Veins,"Spider veins appearing around larger veins"
Varicose Veins,"Aching pain that worsens as day progresses"
Varicose Veins,"Muscle cramping in calves and thighs"
Varicose Veins,"Burning sensation along vein pathways"
Varicose Veins,"Throbbing pain in affected leg areas"
Varicose Veins,"Swelling that pits when pressed"
Varicose Veins,"Skin changes including thickening"
Varicose Veins,"Itching that leads to scratching"
Varicose Veins,"Discomfort when wearing tight clothing"
Varicose Veins,"Pain relief when walking or moving"
Varicose Veins,"Warmth over affected vein areas"
Varicose Veins,"Redness along vein pathways"
Varicose Veins,"Tenderness when touching veins"
Varicose Veins,"Leg fatigue after minimal activity"
Varicose Veins,"Restless legs syndrome symptoms"
Varicose Veins,"Difficulty finding comfortable positions"
Varicose Veins,"Pain that interferes with sleep"
Varicose Veins,"Swelling that makes shoes feel tight"
Varicose Veins,"Visible vein networks under skin"
Varicose Veins,"Veins that bulge when standing"
Varicose Veins,"Pain that radiates down leg"
Varicose Veins,"Heaviness feeling like weights"
Varicose Veins,"Skin discoloration around ankles"
Varicose Veins,"Dry scaly skin on lower legs"
Varicose Veins,"Itching that worsens at night"
Varicose Veins,"Pain after prolonged sitting"
Varicose Veins,"Veins that feel rope-like"
Varicose Veins,"Swelling after long flights"
Varicose Veins,"Pain during weather changes"
Varicose Veins,"Visible vein pulsations"
Varicose Veins,"Leg weakness sensation"
Varicose Veins,"Cramping during sleep"
Varicose Veins,"Pain when bending over"
Varicose Veins,"Swelling in foot arches"
Varicose Veins,"Tingling sensations in legs"
Varicose Veins,"Numbness in affected areas"
Varicose Veins,"Pain that wakes at night"
Varicose Veins,"Difficulty crossing legs"
Varicose Veins,"Pain when climbing stairs"
Varicose Veins,"Swelling after exercise"
Varicose Veins,"Veins that change color"
Varicose Veins,"Pain during menstruation"
Varicose Veins,"Swelling during hot weather"
Varicose Veins,"Itching after showering"
Varicose Veins,"Pain when wearing heels"
Varicose Veins,"Swelling in morning"
Varicose Veins,"Veins that feel tender"
Varicose Veins,"Pain when pressure applied"
Varicose Veins,"Swelling after eating salt"
Varicose Veins,"Itching in warm environments"
Varicose Veins,"Pain during pregnancy"
Varicose Veins,"Swelling during travel"
Varicose Veins,"Veins that appear suddenly"
Varicose Veins,"Pain with hormonal changes"
Varicose Veins,"Swelling with medication"
Varicose Veins,"Itching with certain fabrics"
Varicose Veins,"Pain during ovulation"
Varicose Veins,"Swelling with dehydration"
Varicose Veins,"Veins that bleed easily"
Varicose Veins,"Pain during stress periods"
Varicose Veins,"Swelling with heart conditions"
Varicose Veins,"Itching with lotion application"
Varicose Veins,"Pain during blood pressure"
Varicose Veins,"Swelling with kidney issues"
Varicose Veins,"Veins that change size"
Varicose Veins,"Pain during temperature changes"
Varicose Veins,"Swelling with liver conditions"
Varicose Veins,"Itching with sweat accumulation"
Varicose Veins,"Pain during physical exams"
Varicose Veins,"Swelling with allergic reactions"
Varicose Veins,"Veins that feel warm"
Varicose Veins,"Pain during ultrasound"
Varicose Veins,"Swelling with infections"
Varicose Veins,"Itching with bandage use"
Varicose Veins,"Pain during compression"
Varicose Veins,"Swelling with arthritis"
Asthma,"Difficulty breathing especially during nighttime hours"
Asthma,"Wheezing and chest tightness occurring frequently"
Asthma,"Shortness of breath even with mild physical activity"
Asthma,"Waking up coughing frequently during the night"
Asthma,"Exercise triggers breathing problems immediately"
Asthma,"Chest feels heavy and tight during cold weather"
Asthma,"Coughing frequently after dust or pollen exposure"
Asthma,"Breathing becomes labored when lying down flat"
Asthma,"Allergic triggers worsen asthma symptoms significantly"
Asthma,"Feeling short of breath even while at rest"
Asthma,"Coughing fits occur after laughing or crying"
Asthma,"Rapid breathing happens during asthma attacks"
Asthma,"Inability to complete sentences due to breathlessness"
Asthma,"Anxiety increases during breathing difficulties"
Asthma,"Peak flow meter readings show decreased numbers"
Asthma,"Symptoms worsen during respiratory infections"
Asthma,"Chest feels constricted like a tight band"
Asthma,"Whistling sound when breathing out"
Asthma,"Neck and chest muscles tighten during attacks"
Asthma,"Blue lips or fingernails during severe episodes"
Asthma,"Exercise-induced bronchoconstriction occurs"
Asthma,"Allergy to pets triggers asthma symptoms"
Asthma,"Mold or damp environments worsen breathing"
Asthma,"Cold air causes immediate chest tightness"
Asthma,"Strong emotions trigger asthma attacks"
Asthma,"Chest pain during breathing difficulties"
Asthma,"Rapid heartbeat during asthma episodes"
Asthma,"Difficulty speaking full sentences"
Asthma,"Feeling of suffocation or drowning"
Asthma,"Sweating during severe attacks"
Asthma,"Pale skin during breathing problems"
Asthma,"Nasal flaring during labored breathing"
Asthma,"Use of accessory breathing muscles"
Asthma,"Inability to lie flat during attacks"
Asthma,"Preference for sitting upright"
Asthma,"Feeling of air hunger"
Asthma,"Cough that produces mucus"
Asthma,"Throat clearing constantly"
Asthma,"Chest congestion feeling"
Asthma,"Breathing through mouth"
Asthma,"Fatigue after attacks"
Asthma,"Headache from coughing"
Asthma,"Sleep disturbances frequent"
Asthma,"Reduced exercise tolerance"
Asthma,"Weather changes trigger symptoms"
Asthma,"Humidity affects breathing patterns"
Asthma,"Smoke exposure worsens condition"
Asthma,"Perfume triggers asthma symptoms"
Asthma,"Chemical fumes cause breathing problems"
Asthma,"Cleaning products affect breathing ability"
Asthma,"Air pollution exacerbates symptoms"
Asthma,"Respiratory infections trigger attacks"
Asthma,"Sinus problems worsen asthma condition"
Asthma,"GERD exacerbates asthma symptoms"
Asthma,"Stress increases attack frequency"
Asthma,"Anxiety precipitates asthma attacks"
Asthma,"Laughing causes coughing fits"
Asthma,"Talking triggers asthma symptoms"
Asthma,"Eating large meals worsens breathing"
Asthma,"Alcohol consumption affects asthma"
Asthma,"Medication side effects occur"
Asthma,"Seasonal pattern evident in symptoms"
Asthma,"Workplace exposures trigger attacks"
Asthma,"Indoor allergens affect breathing"
Asthma,"Outdoor allergens worsen condition"
Asthma,"Dust mite sensitivity present"
Asthma,"Pollen allergy evident in symptoms"
Asthma,"Animal dander triggers attacks"
Asthma,"Cockroach allergen affects breathing"
Asthma,"Mold spore sensitivity present"
Asthma,"Food allergies connected to asthma"
Asthma,"Aspirin sensitivity present in some"
Asthma,"NSAID intolerance exists in patients"
Asthma,"Sulfite sensitivity noted in some"
Asthma,"Exercise limitation significant"
Asthma,"Daily activity restriction present"
Asthma,"School or work absence due to asthma"
Asthma,"Emergency room visits required"
Asthma,"Hospitalizations needed for control"
Asthma,"Rescue inhaler overuse occurs"
Asthma,"Preventer medication needed daily"
Asthma,"Steroid dependence develops"
Asthma,"Peak flow variability present"
Asthma,"Morning dipping pattern evident"
Asthma,"Nocturnal symptoms prominent"
Asthma,"Daytime symptoms persistent"
Asthma,"Quality of life affected significantly"
Asthma,"Physical limitation evident daily"
Asthma,"Social activities restricted due to asthma"
Asthma,"Sports participation limited"
Asthma,"Sleep quality poor due to symptoms"
Asthma,"Concentration affected by breathing"
Asthma,"Work performance decreased"
Asthma,"School performance impacted"
Asthma,"Family life affected by condition"
Asthma,"Psychological distress present"
Asthma,"Depression related to chronic illness"
Asthma,"Anxiety disorder present with asthma"
Asthma,"Fear of attacks constant concern"
Asthma,"Medication concerns about side effects"
Chronic Kidney Disease,"Feet and face noticeably swollen"
Chronic Kidney Disease,"Unusually tired and weak daily"
Chronic Kidney Disease,"Urine output decreased significantly"
Chronic Kidney Disease,"Foamy urine and frequent nausea"
Chronic Kidney Disease,"Shortness of breath due to fluid"
Chronic Kidney Disease,"Loss of appetite and weight"
Chronic Kidney Disease,"Blood pressure unusually high"
Chronic Kidney Disease,"Persistent pain in lower back"
Chronic Kidney Disease,"Sleep disturbed due to leg cramps"
Chronic Kidney Disease,"Nauseated after eating meals"
Chronic Kidney Disease,"Muscle twitching occurs frequently"
Chronic Kidney Disease,"Metallic taste in mouth persists"
Chronic Kidney Disease,"Ammonia smell on breath noticed"
Chronic Kidney Disease,"Skin feels itchy all over body"
Chronic Kidney Disease,"Difficulty concentrating mentally"
Chronic Kidney Disease,"Hands and feet feel numb"
Chronic Kidney Disease,"Darkened skin color changes"
Chronic Kidney Disease,"Easy bruising and bleeding"
Chronic Kidney Disease,"Fluid retention causes puffiness"
Chronic Kidney Disease,"Proteinuria detected in urine tests"
Chronic Kidney Disease,"Anemia develops due to kidney failure"
Chronic Kidney Disease,"Bone pain and fractures occur"
Chronic Kidney Disease,"High potassium levels cause problems"
Chronic Kidney Disease,"High phosphorus levels affect bones"
Chronic Kidney Disease,"Urine appears dark and concentrated"
Chronic Kidney Disease,"Decreased urine output noticeably"
Chronic Kidney Disease,"Swelling in ankles and feet daily"
Chronic Kidney Disease,"Puffiness around eyes in morning"
Chronic Kidney Disease,"Fatigue that doesn't improve with rest"
Chronic Kidney Disease,"Weakness in muscles throughout body"
Chronic Kidney Disease,"Loss of appetite significant and persistent"
Chronic Kidney Disease,"Nausea and vomiting become frequent"
Chronic Kidney Disease,"Sleep problems become persistent issue"
Chronic Kidney Disease,"Muscle cramps occur mainly at night"
Chronic Kidney Disease,"Itchy skin without visible rash present"
Chronic Kidney Disease,"Chest pain if fluid builds around heart"
Chronic Kidney Disease,"Shortness of breath worsens with activity"
Chronic Kidney Disease,"High blood pressure difficult to control"
Chronic Kidney Disease,"Headaches from hypertension become common"
Chronic Kidney Disease,"Decreased mental sharpness noticeable"
Chronic Kidney Disease,"Trouble concentrating becomes ongoing issue"
Chronic Kidney Disease,"Metallic taste in mouth becomes constant"
Chronic Kidney Disease,"Bad breath that smells like urine"
Chronic Kidney Disease,"Weight loss unintentional and significant"
Chronic Kidney Disease,"General malaise feeling persists daily"
Chronic Kidney Disease,"Poor appetite becomes persistent problem"
Chronic Kidney Disease,"Muscle twitches occur randomly"
Chronic Kidney Disease,"Weakness in limbs affects mobility"
Chronic Kidney Disease,"Fatigue becomes overwhelming daily"
Chronic Kidney Disease,"Sleepiness during day interferes with life"
Chronic Kidney Disease,"Difficulty staying awake during daytime"
Chronic Kidney Disease,"Lethargy becomes pronounced feature"
Chronic Kidney Disease,"Reduced urine output becomes obvious"
Chronic Kidney Disease,"Urination changes become noticeable"
Chronic Kidney Disease,"Foamy urine becomes persistent finding"
Chronic Kidney Disease,"Bubbles in urine don't disappear"
Chronic Kidney Disease,"Urine becomes dark colored consistently"
Chronic Kidney Disease,"Blood in urine sometimes visible"
Chronic Kidney Disease,"Urinary frequency changes significantly"
Chronic Kidney Disease,"Nocturia increases noticeably"
Chronic Kidney Disease,"Bedwetting occurs in adults"
Chronic Kidney Disease,"Incontinence may develop"
Chronic Kidney Disease,"Urinary urgency becomes new symptom"
Chronic Kidney Disease,"Pain with urination may occur"
Chronic Kidney Disease,"Burning during urination present"
Chronic Kidney Disease,"Kidney area pain becomes persistent"
Chronic Kidney Disease,"Flank pain doesn't resolve"
Chronic Kidney Disease,"Back ache becomes constant feature"
Chronic Kidney Disease,"Abdominal pain may be associated"
Chronic Kidney Disease,"Side pain recurs frequently"
Chronic Kidney Disease,"Joint pain from gout may develop"
Chronic Kidney Disease,"Bone pain becomes significant issue"
Chronic Kidney Disease,"Muscle aches become generalized"
Chronic Kidney Disease,"Cramps in legs become severe"
Chronic Kidney Disease,"Restless legs syndrome develops"
Chronic Kidney Disease,"Itching occurs without apparent cause"
Chronic Kidney Disease,"Skin dryness becomes extreme"
Chronic Kidney Disease,"Skin color changes become noticeable"
Chronic Kidney Disease,"Pale skin appearance develops"
Chronic Kidney Disease,"Yellow skin tint may appear"
Chronic Kidney Disease,"Easy bruising becomes noticeable"
Chronic Kidney Disease,"Bleeding gums become common"
Chronic Kidney Disease,"Nosebleeds occur frequently"
Chronic Kidney Disease,"Blood in stool may be possible"
Chronic Kidney Disease,"Anemia symptoms become prominent"
Chronic Kidney Disease,"Shortness of breath worsens"
Chronic Kidney Disease,"Dizziness becomes frequent"
Chronic Kidney Disease,"Lightheadedness occurs commonly"
Chronic Kidney Disease,"Fainting spells may occur rarely"
Chronic Kidney Disease,"Rapid heartbeat happens sometimes"
Chronic Kidney Disease,"Chest palpitations may occur"
Chronic Kidney Disease,"Swelling in hands becomes noticeable"
Chronic Kidney Disease,"Face puffiness worse in morning"
Chronic Kidney Disease,"Abdominal swelling may develop"
Chronic Kidney Disease,"Weight gain from fluid occurs"
Chronic Kidney Disease,"Breathing difficulties increase"
Chronic Kidney Disease,"Cough from fluid buildup develops"
Chronic Kidney Disease,"High blood pressure persists"
Chronic Kidney Disease,"Vision problems may develop"
Chronic Kidney Disease,"Headaches become persistent"
Migraine,"Throbbing headaches on one side of head"
Migraine,"Light and sound sensitivity triggers nausea"
Migraine,"Head pain worsens with physical activity"
Migraine,"Visual disturbances appear before headache starts"
Migraine,"Headaches are severe and keep recurring"
Migraine,"Feeling dizzy and nauseous during attacks"
Migraine,"Pain lasts several hours with occasional vomiting"
Migraine,"Experience aura before the migraine begins"
Migraine,"Headache intensifies at night or during stress"
Migraine,"Neck stiffness accompanies the headache pain"
Migraine,"Aura includes flashing lights or zigzag lines"
Migraine,"Blind spots appear in visual field temporarily"
Migraine,"Tingling sensation in face or hands occurs"
Migraine,"Difficulty speaking clearly during aura phase"
Migraine,"Headache typically lasts 4 to 72 hours"
Migraine,"Pain feels pulsating or pounding in quality"
Migraine,"Routine physical activity aggravates pain"
Migraine,"Want to lie down in dark quiet room"
Migraine,"Sensitivity to smells during migraine"
Migraine,"Food cravings before migraine attacks"
Migraine,"Yawning and fatigue before headache starts"
Migraine,"Neck pain precedes the migraine headache"
Migraine,"Irritability and mood changes occur"
Migraine,"Depression follows migraine attacks"
Migraine,"Abdominal pain accompanies headache"
Migraine,"Confusion and difficulty thinking"
Migraine,"Nasal congestion and runny nose"
Migraine,"Eye pain and pressure behind eyes"
Migraine,"Scalp tenderness and sensitivity"
Migraine,"Feverish feeling without actual fever"
Migraine,"Pale skin during migraine episode"
Migraine,"Cold hands and feet during attack"
Migraine,"Frequent urination before headache"
Migraine,"Constipation or diarrhea occurs"
Migraine,"Stiffness in shoulders and back"
Migraine,"Difficulty concentrating during migraine"
Migraine,"Memory problems during episodes"
Migraine,"Anxiety increases before headache"
Migraine,"Insomnia due to migraine pain"
Migraine,"Fatigue persists after headache ends"
Migraine,"Weakness on one side of body"
Migraine,"Speech difficulties during severe attacks"
Migraine,"Vision blurring in one or both eyes"
Migraine,"Tearing from one eye"
Migraine,"Drooping eyelid on one side"
Migraine,"Numbness around mouth area"
Migraine,"Ringing in ears during migraine"
Migraine,"Loss of balance and coordination"
Migraine,"Increased thirst during attacks"
Migraine,"Food sensitivities develop"
Migraine,"Chocolate triggers migraines"
Migraine,"Cheese worsens headache pain"
Migraine,"Red wine causes migraines"
Migraine,"Caffeine withdrawal triggers"
Migraine,"Weather changes precipitate attacks"
Migraine,"Bright lights trigger pain"
Migraine,"Loud noises worsen symptoms"
Migraine,"Strong odors initiate migraine"
Migraine,"Stress is major trigger factor"
Migraine,"Hormonal changes affect frequency"
Migraine,"Menstrual cycle influences timing"
Migraine,"Oral contraceptives worsen"
Migraine,"Pregnancy may improve symptoms"
Migraine,"Menopause changes pattern"
Migraine,"Sleep changes trigger attacks"
Migraine,"Oversleeping causes headaches"
Migraine,"Undersleeping initiates pain"
Migraine,"Jet lag precipitates migraines"
Migraine,"Altitude changes trigger"
Migraine,"Physical exertion worsens"
Migraine,"Sexual activity may trigger"
Migraine,"Neck injury predisposes"
Migraine,"Family history common"
Migraine,"Childhood onset possible"
Migraine,"Worsens with age sometimes"
Migraine,"Improves with age occasionally"
Migraine,"Chronic daily headache develops"
Migraine,"Medication overuse headache"
Migraine,"Status migrainosus occurs"
Migraine,"Aura without headache happens"
Migraine,"Retinal migraine affects vision"
Migraine,"Vestibular migraine causes dizziness"
Migraine,"Abdominal migraine in children"
Migraine,"Hemiplegic migraine causes weakness"
Migraine,"Ophthalmoplegic migraine rare"
Migraine,"Basilar-type migraine serious"
Migraine,"Menstrual migraine pattern"
Migraine,"Cluster migraine features"
Migraine,"Tension-type overlap occurs"
Migraine,"Sinus symptoms accompany"
Migraine,"Allergy symptoms present"
Migraine,"Asthma associated sometimes"
Migraine,"Depression commonly comorbid"
Migraine,"Anxiety disorders frequent"
Migraine,"Epilepsy association exists"
Migraine,"Stroke risk increases slightly"
Migraine,"Heart disease association"
Migraine,"Raynaud phenomenon common"
Migraine,"Irritable bowel associated"
Migraine,"Fibromyalgia often coexists"
Gastritis,"Burning pain in upper abdomen"
Gastritis,"Nausea and bloating frequent occurrences"
Gastritis,"Heartburn worsens after eating spicy foods"
Gastritis,"Stomach discomfort increases at night"
Gastritis,"Appetite reduced due to stomach pain"
Gastritis,"Burping frequently and feeling full quickly"
Gastritis,"Acid reflux causes sour taste in mouth"
Gastritis,"Discomfort after drinking alcohol"
Gastritis,"Stomach pain worsens on empty stomach"
Gastritis,"Intermittent vomiting with the pain"
Gastritis,"Black tarry stools indicate bleeding"
Gastritis,"Stomach feels tender to touch"
Gastritis,"Pain improves after eating bland foods"
Gastritis,"Feeling of fullness after small meals"
Gastritis,"Loss of appetite and weight loss"
Gastritis,"Indigestion after fatty foods"
Gastritis,"Chronic gastritis causes fatigue"
Gastritis,"Autoimmune gastritis affects B12 absorption"
Gastritis,"H pylori infection causes symptoms"
Gastritis,"Stress-induced gastritis occurs"
Gastritis,"NSAID use triggers stomach inflammation"
Gastritis,"Alcohol consumption worsens condition"
Gastritis,"Smoking aggravates gastritis symptoms"
Gastritis,"Pain radiates to the back sometimes"
Gastritis,"Bloating and gas are problematic"
